time	V(n002)	I(Re)	I(Rs)
1.204000000000000e-01	4.864103e-03	2.378397e-07	2.500000e-07
1.207821984426967e-01	1.023967e-02	2.244008e-07	2.500000e-07
1.211643968853934e-01	1.534923e-02	2.116269e-07	2.500000e-07
1.215465953280902e-01	2.019276e-02	1.995181e-07	2.500000e-07
1.219287937707869e-01	2.477028e-02	1.880743e-07	2.500000e-07
1.223109922134836e-01	2.908178e-02	1.772955e-07	2.500000e-07
1.226931906561803e-01	3.312726e-02	1.671818e-07	2.500000e-07
1.230753890988770e-01	3.690672e-02	1.577331e-07	2.499999e-07
1.232646192276089e-01	3.870902e-02	1.532274e-07	2.499999e-07
1.234538493563407e-01	4.046418e-02	1.488395e-07	2.499999e-07
1.236430794850726e-01	4.217222e-02	1.445694e-07	2.499999e-07
1.238323096138044e-01	4.383312e-02	1.404171e-07	2.499999e-07
1.240215397425363e-01	4.544690e-02	1.363826e-07	2.499999e-07
1.242107698712681e-01	4.701355e-02	1.324660e-07	2.499999e-07
1.244000000000000e-01	4.853306e-02	1.286672e-07	2.499999e-07
1.245367187500000e-01	4.858191e-02	4.309590e-08	1.645507e-07
1.246437500000000e-01	4.811355e-02	-2.262772e-08	9.765615e-08
1.248000000000000e-01	4.692917e-02	-1.173230e-07	-9.827486e-14
1.254194196428571e-01	4.275009e-02	-1.068753e-07	-8.567213e-14
1.260388392857142e-01	3.887771e-02	-9.719435e-08	-7.447282e-14
1.266582589285713e-01	3.531205e-02	-8.828018e-08	-6.467692e-14
1.272776785714284e-01	3.205310e-02	-8.013279e-08	-5.628446e-14
1.278970982142855e-01	2.910085e-02	-7.275218e-08	-4.929541e-14
1.285165178571426e-01	2.645532e-02	-6.613835e-08	-4.370978e-14
1.291359374999997e-01	2.411650e-02	-6.029129e-08	-3.952758e-14
1.297776785714283e-01	2.189588e-02	-5.473974e-08	-3.530082e-14
1.304194196428568e-01	1.984309e-02	-4.960776e-08	-3.146073e-14
1.310611607142853e-01	1.795813e-02	-4.489536e-08	-2.800731e-14
1.317029017857139e-01	1.624100e-02	-4.060253e-08	-2.494056e-14
1.323446428571424e-01	1.469170e-02	-3.672928e-08	-2.226048e-14
1.329863839285710e-01	1.331024e-02	-3.327561e-08	-1.996707e-14
